ManHinh,Ram,CPU,GPU,TrongLuong,HDD/SSD,DungLuong,Gia,Product
0.722826087,0.125,0.638888889,0.226519337,0.291489362,0.35,0.0625,0.219657321,MacBook Pro
0.722826087,0.125,0.5,0.138121547,0.285106383,0.35,0.0625,0.147391376,Macbook Air
0.847826087,0.125,0.694444444,0.08839779,0.395744681,0.35,0.125,0.09427775,250 G6
0.836956522,0.25,0.75,0.552486188,0.389361702,0.5,0.25,0.416043614,MacBook Pro
0.722826087,0.125,0.861111111,0.226519337,0.291489362,0.35,0.125,0.29572061,MacBook Pro
0.847826087,0.0625,0.833333333,0.132596685,0.446808511,0.15,0.25,0.065584522,Aspire 3
0.836956522,0.25,0.611111111,0.226519337,0.434042553,0.35,0.125,0.350872274,MacBook Pro
0.722826087,0.125,0.5,0.138121547,0.285106383,0.35,0.125,0.189981964,Macbook Air
0.760869565,0.25,0.5,0.325966851,0.276595745,0.5,0.25,0.245122151,ZenBook UX430UN
0.760869565,0.125,0.444444444,0.165745856,0.340425532,0.35,0.125,0.126250205,Swift 3
0.847826087,0.0625,0.694444444,0.08839779,0.395744681,0.15,0.25,0.064584358,250 G6
0.847826087,0.0625,0.555555556,0.127071823,0.395744681,0.15,0.25,0.056565011,250 G6
0.836956522,0.25,0.777777778,0.430939227,0.389361702,0.35,0.125,0.400060666,MacBook Pro
0.847826087,0.0625,0.555555556,0.149171271,0.468085106,0.35,0.125,0.081800295,Inspiron 3567
0.847826087,0.125,0.694444444,0.674033149,0.531914894,0.6,0.5625,0.163797344,Legion Y520-15IKBN
